image_path,detected_objects,max_confidence,image_category
data/raw/images/lobelia4cosmetics/22063.jpg,"hot dog, hot dog",0.5860731601715088,unclassified
data/raw/images/lobelia4cosmetics/22064.jpg,,0.0,unclassified
data/raw/images/lobelia4cosmetics/22065.jpg,,0.0,unclassified
data/raw/images/lobelia4cosmetics/22066.jpg,bottle,0.8599440455436707,product_listing
data/raw/images/lobelia4cosmetics/22067.jpg,cup,0.5273937582969666,unclassified
data/raw/images/lobelia4cosmetics/22068.jpg,,0.0,unclassified
data/raw/images/lobelia4cosmetics/22069.jpg,banana,0.7397515773773193,unclassified
data/raw/images/lobelia4cosmetics/22070.jpg,bottle,0.7726439237594604,product_listing
data/raw/images/lobelia4cosmetics/22071.jpg,bottle,0.8308451175689697,product_listing
data/raw/images/lobelia4cosmetics/22072.jpg,,0.0,unclassified
data/raw/images/lobelia4cosmetics/22073.jpg,,0.0,unclassified
data/raw/images/lobelia4cosmetics/22074.jpg,bottle,0.8075851202011108,product_listing
data/raw/images/lobelia4cosmetics/22075.jpg,,0.0,unclassified
data/raw/images/lobelia4cosmetics/22076.jpg,,0.0,unclassified
data/raw/images/lobelia4cosmetics/22077.jpg,,0.0,unclassified
data/raw/images/lobelia4cosmetics/22078.jpg,,0.0,unclassified
data/raw/images/lobelia4cosmetics/22079.jpg,person,0.5967599749565125,lifestyle_shot
data/raw/images/lobelia4cosmetics/22080.jpg,,0.0,unclassified
data/raw/images/lobelia4cosmetics/22081.jpg,,0.0,unclassified
data/raw/images/lobelia4cosmetics/22082.jpg,,0.0,unclassified
data/raw/images/lobelia4cosmetics/22083.jpg,,0.0,unclassified
data/raw/images/lobelia4cosmetics/22084.jpg,,0.0,unclassified
data/raw/images/lobelia4cosmetics/22085.jpg,"bottle, bottle",0.9156719446182251,product_listing
data/raw/images/lobelia4cosmetics/22086.jpg,bottle,0.8690327405929565,product_listing
data/raw/images/lobelia4cosmetics/22087.jpg,,0.0,unclassified
data/raw/images/lobelia4cosmetics/22088.jpg,,0.0,unclassified
data/raw/images/lobelia4cosmetics/22089.jpg,bottle,0.579176127910614,product_listing
data/raw/images/lobelia4cosmetics/22090.jpg,,0.0,unclassified
data/raw/images/lobelia4cosmetics/22091.jpg,,0.0,unclassified
data/raw/images/lobelia4cosmetics/22092.jpg,,0.0,unclassified
data/raw/images/lobelia4cosmetics/22093.jpg,,0.0,unclassified
data/raw/images/lobelia4cosmetics/22094.jpg,bottle,0.7326316237449646,product_listing
data/raw/images/lobelia4cosmetics/22095.jpg,,0.0,unclassified
data/raw/images/lobelia4cosmetics/22096.jpg,person,0.7900387644767761,lifestyle_shot
data/raw/images/lobelia4cosmetics/22097.jpg,,0.0,unclassified
data/raw/images/lobelia4cosmetics/22098.jpg,"person, refrigerator",0.8406544327735901,lifestyle_shot
